"","ensembl_gene_id","entrez.human","entrezgene","gene","cardiomyopathy_score","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj","MSeqDR"
"1","ENSMUSG00000000001",2773,14679,"Gnai3",NA,8.23028569407508e-06,9.57322822739416e-06,6.887343160756e-06,0.719437894632827,-0.475057942977294,0.154901780118172,0.78391237985634,NA
"2","ENSMUSG00000000028",8318,12544,"Cdc45",NA,6.44927063846681e-07,5.7345665479276e-07,7.16397472900602e-07,1.24926176531947,0.321075805176564,0.566036335981791,0.948418576552316,NA
"3","ENSMUSG00000000031",NA,NA,"H19",NA,7.72769656163896e-06,1.18093707075887e-05,3.64602241568919e-06,0.308739771658302,-1.69553675291807,0.00961798145098959,0.22461178477793,NA
"4","ENSMUSG00000000056",26502,67608,"Narf",NA,5.19280760767866e-05,6.20932409274653e-05,4.17629112261079e-05,0.672583852965471,-0.572213951060434,0.0999014442917001,0.698628533381731,NA
"5","ENSMUSG00000000058",858,12390,"Cav2",NA,2.51348974551174e-05,2.40647759336779e-05,2.62050189765568e-05,1.08893675340163,0.122920163234256,0.677854182408009,0.967363208803239,NA
"6","ENSMUSG00000000078",1316,23849,"Klf6",NA,3.37513480300089e-05,2.82693585926855e-05,3.92333374673322e-05,1.38783967590562,0.472840916521881,0.129648206097282,0.750997998898665,NA
"7","ENSMUSG00000000085",22955,29871,"Scmh1",NA,5.35490573790573e-06,5.29291119159735e-06,5.41690028421412e-06,1.02342550028302,0.0334060859625677,0.842871098329637,0.990495358752686,NA
"8","ENSMUSG00000000088",9377,12858,"Cox5a",NA,3.22957856246227e-05,3.38528042739845e-05,3.07387669752609e-05,0.90801242716791,-0.13921605233722,0.800050639271701,0.986275827643482,"<a href=""https://mseqdr.org/MITO_backend/genes/COX5A"">COX5A</a>"
"9","ENSMUSG00000000093",6909,21385,"Tbx2",NA,1.5675260512244e-06,1.45989682480017e-06,1.67515527764863e-06,1.14744771629866,0.198428418427675,0.536449169142934,0.94191660172297,NA
"10","ENSMUSG00000000094",9496,21387,"Tbx4",NA,2.61343183026273e-08,2.73900803208627e-08,2.48785562843918e-08,0.908305342406829,-0.138750729172593,1,1,NA
"11","ENSMUSG00000000120",4804,18053,"Ngfr",NA,3.32923364941205e-07,4.49637780670945e-07,2.16208949211465e-07,0.48085138417159,-1.05633702303023,0.104150511867864,0.710908992186408,NA
"12","ENSMUSG00000000126",7483,216795,"Wnt9a",NA,2.57359381306299e-06,3.14859098852699e-06,1.99859663759898e-06,0.634759054091682,-0.655719026519096,0.0983190903024827,0.695475592272098,NA
"13","ENSMUSG00000000127",2241,14158,"Fer",NA,6.63013401089597e-06,7.12261613967626e-06,6.13765188211567e-06,0.861713134858709,-0.214720420232061,0.506557992759951,0.940230898858689,NA
"14","ENSMUSG00000000131",23214,74204,"Xpo6",NA,6.25424573305546e-06,7.21454915260716e-06,5.29394231350375e-06,0.733786990915524,-0.446566767172024,0.250375948283938,0.843304908186904,NA
"15","ENSMUSG00000000134",7030,209446,"Tfe3",NA,5.11306915387187e-06,5.92504692560502e-06,4.30109138213871e-06,0.725916846928519,-0.46212379652103,0.178416017785484,0.800875089955201,NA
